task,model,train_pairs,sum_acc,sum_ci95,grounding,grounding_aligned,n_shortcut
standard,neural,100,0.0858,0.0186,,,
standard,neural,500,0.13,0.016,,,
standard,neural,1000,0.2202,0.0138,,,
standard,neural,5000,0.8832,0.0105,,,
standard,neural,15000,0.9516,0.0072,,,
standard,neural,30000,0.9702,0.0038,,,
standard,nesy,100,0.1298,0.0282,0.2829,,0
standard,nesy,500,0.6491,0.167,0.798,,0
standard,nesy,1000,0.8542,0.0142,0.924,,0
standard,nesy,5000,0.9546,0.0063,0.9771,,0
standard,nesy,15000,0.9732,0.0032,0.9866,,0
standard,nesy,30000,0.9804,0.0022,0.9902,,0
standard,oracle,100,0.4293,0.1187,0.6536,,0
standard,oracle,500,0.7943,0.0209,0.8912,,0
standard,oracle,1000,0.8683,0.0143,0.9319,,0
standard,oracle,5000,0.9576,0.0037,0.9785,,0
standard,oracle,15000,0.9746,0.0039,0.9872,,0
standard,oracle,30000,0.9807,0.003,0.9903,,0
modular,neural,1000,0.1428,0.0055,,,
modular,neural,5000,0.8853,0.0141,,,
modular,neural,30000,0.7932,0.4823,,,
modular,nesy,1000,0.1987,0.1395,0.0547,0.3022,3
modular,nesy,5000,0.5986,0.3841,0.0219,0.5394,4
modular,nesy,30000,0.6571,0.3796,0.0204,0.4711,4
modular,oracle,1000,0.8675,0.0132,0.9316,0.9316,0
modular,oracle,5000,0.958,0.0037,0.9788,0.9788,0
modular,oracle,30000,0.9794,0.0028,0.9897,0.9897,0
